stop_id,stop_code,stop_name,lat,lon,Zip Codes
4080,4080,2221 Barton Springs (Zilker),30.267964,-97.772453,78746
4081,4081,Barton Springs/Zilker,30.265879,-97.767853,78746
4082,4082,220 Lamar/B R Reynolds,30.268227,-97.755652,78703
4083,4083,219 Lamar/Sandra Muraida,30.268224,-97.755414,78703
4084,4084,600 Lamar/6th,30.272037,-97.753855,78703
4086,4086,5th/West Lynn,30.273605,-97.763241,78703
4088,4088,1000 Lamar/10th,30.275103,-97.752332,78703
4089,4089,1117 Lamar/12th,30.276741,-97.751339,78703
4090,4090,1200 Lamar/12th,30.276963,-97.751452,78703
4096,4096,27th/Whitis,30.292003,-97.740219,78705
4113,4113,Speedway/44th,30.308091,-97.728681,78751
4114,4114,Speedway/38th,30.299792,-97.734149,78705
4115,4115,3201 Speedway/33rd,30.29722,-97.735581,78705
4116,4116,31st/Grooms,30.294366,-97.735868,78705
4117,4117,31st/Walling,30.294287,-97.735581,78705
4120,4120,22nd/Pearl,30.285285,-97.746666,78705
4121,4121,San Gabriel/25 1/2,30.29005,-97.747693,78705
4122,4122,26th/Rio Grande,30.290696,-97.744249,78705
4123,4123,26th/Pearl,30.29086,-97.746437,78705
4125,4125,3004 Lamar/30th Half,30.299542,-97.746769,78705
4128,4128,3913 Medical/39th Half,30.307742,-97.742786,78756
4129,4129,Medical/42nd,30.311492,-97.742464,78756
4133,4133,3617 Bull Creek/Jefferson,30.309849,-97.751043,78731
4134,4134,1951 San Jacinto/Trinity,30.280391,-97.733979,78705
4135,4135,2001 San Jacinto/20th,30.281645,-97.733191,78705
4143,4143,Robert Dedman/Trinity,30.287351,-97.730075,78705
4144,4144,Red River/Dean Keeton,30.28758,-97.72652,78705
4147,4147,3409 Red River/Harris,30.293112,-97.725448,78705
4150,4150,4510 Duval/45th,30.307337,-97.724462,78751
4152,4152,3508 Duval/38th,30.298182,-97.730215,78705
4153,4153,2400 Lamar/24th,30.288718,-97.752825,78703
4154,4154,2327 Lamar/24th,30.288405,-97.752709,78705
4155,4155,1900 Lamar/Martin Luther King,30.283674,-97.752333,78703
4156,4156,1801 Lamar/Martin Luther King,30.283337,-97.751717,78701
4157,4157,2206 Enfield/Meriden,30.287548,-97.766813,78703
4158,4158,2207 Enfield/Kent,30.28741,-97.76683,78703
4162,4162,2531 Lake Austin/Dumas,30.279378,-97.774279,78703
4166,4166,Mopac/Nature Center,30.269505,-97.776342,78746
4167,4167,Mopac/Zilker,30.268571,-97.776574,78746
4170,4170,Rosewood/Leona,30.269427,-97.72125,78702
4171,4171,Rosewood/Salina,30.269475,-97.720098,78702
4172,4172,Rosewood/Chicon,30.269698,-97.719604,78702
4173,4173,1321 12th/Angelina,30.272878,-97.725052,78702
4175,4175,700 Cesar Chavez/Red River,30.261585,-97.737717,78701
4181,4181,7th/Northwestern,30.261408,-97.716495,78702
4182,4182,Comal/Manor,30.282692,-97.726034,78722
4183,4183,1255 Martin Luther King/IH 35,30.278682,-97.72723,78702
4184,4184,Comal/21st,30.280784,-97.725615,78722
4185,4185,Disch-Falk/Comal,30.280667,-97.726905,78722
4186,4186,Dean Keeton/Lafayette,30.284125,-97.721478,78722
4189,4189,Cherrywood/Manor,30.285131,-97.717815,78722
4190,4190,2604 Manor/Stafford,30.284989,-97.715242,78722
4191,4191,2201 Airport/Manor,30.28546,-97.705723,78723
4193,4193,Manor/Tillery,30.286885,-97.703204,78723
4195,4195,3205 Martin Luther King/Airport,30.282537,-97.703456,78721
4196,4196,3014 Martin Luther King/Airport,30.282553,-97.704518,78722
4200,4200,12th/Oak Grove,30.276207,-97.70414,78702
4202,4202,Burnet/47th,30.317748,-97.740022,78756
4204,4204,Allandale Station (SB),30.333766,-97.740096,78756
4207,4207,2401 S 5th/Oltorf,30.243473,-97.76442,78704
4208,4208,2406 S 5th/Oltorf,30.243364,-97.764598,78704
4209,4209,2006 S 5th/Brodie,30.246802,-97.763104,78704
4212,4212,4205 Victory/Ben White,30.232805,-97.7907,78704
4213,4213,4206 Victory/Ben White,30.232792,-97.790917,78704
4215,4215,2317 Panther/Victory,30.238133,-97.788756,78704
4216,4216,2300 Panther/Lamar,30.238522,-97.789058,78704
4218,4218,2555 Western Trails/Sagebrush,30.229457,-97.798807,78745
4219,4219,2700 Western Trails/Sagebrush,30.229104,-97.8005,78745
4220,4220,4631 West Gate/Western Trails,30.229916,-97.800895,78745
4223,4223,Stassney/Westgate,30.218687,-97.805931,78745
4224,4224,2000 Stassney/Menchaca,30.215731,-97.797961,78745
4225,4225,1821 Stassney/Menchaca,30.214594,-97.79633,78745
4226,4226,1820 Stassney/Menchaca,30.214938,-97.796432,78745
4227,4227,5501 Menchaca/Stassney,30.216254,-97.796781,78745
4228,4228,4711 Menchaca/Frontier,30.22403,-97.791983,78745
4229,4229,4611 Menchaca/Forest Hill,30.226246,-97.790564,78745
4230,4230,4413 Menchaca/Redd,30.228562,-97.789081,78745
4231,4231,Pack Saddle Pass/Ben White,30.231055,-97.792199,78745
4234,4234,Ann Richards School,30.23581,-97.789879,78704
4235,4235,2020 Ben White/Menchaca,30.230638,-97.788524,78704
4236,4236,4029 Banister/Ben White,30.228599,-97.778699,78704
4267,4267,Congress/Dunlap,30.22443,-97.763196,78704
4268,4268,Congress/Ben White,30.224457,-97.762871,78704
4272,4272,4735 Congress/Sheraton,30.214379,-97.769146,78745
4273,4273,Congress/Wasson,30.212003,-97.77068,78745
4275,4275,118 Stassney/Congress,30.205325,-97.775422,78745
4276,4276,119 Stassney/Congress,30.205187,-97.775706,78745
4277,4277,720 Stassney/1st,30.208997,-97.782366,78745
4278,4278,1706 Stassney/Rose Hill,30.214017,-97.794515,78745
4283,4283,1400 Pleasant Valley/Lakeshore,30.240161,-97.71877,78741
4284,4284,1225 Pleasant Valley/Elmont,30.239813,-97.718786,78741
4285,4285,Elmont/Pleasant Valley,30.238125,-97.718348,78741
4286,4286,1600 Wickersham/Elmont,30.235821,-97.718624,78741
4288,4288,1820 Pleasant Valley (HEB),30.235236,-97.72198,78741
4290,4290,Oltorf/Burleson,30.231078,-97.735306,78741
4293,4293,2121 Burton/Oltorf,30.23152,-97.733408,78741
4295,4295,Willow Creek/Woodland,30.2331,-97.728953,78741
4296,4296,Oltorf/Burton,30.230285,-97.732372,78741
4298,4298,2316 Pleasant Valley/Sheringham,30.231185,-97.725582,78741
4299,4299,1900 Crossing Place/Riverside,30.232408,-97.717232,78741
4300,4300,1901 Crossing Place/Riverside,30.232153,-97.717055,78741
4301,4301,1501 Crossing Place/Faro,30.235016,-97.714646,78741
4302,4302,1500 Crossing Place/Faro,30.234887,-97.71506,78741
4306,4306,Montopolis/El Mirando,30.240245,-97.693567,78741
4310,4310,2821 Montopolis/Oltorf,30.215817,-97.70926,78741
4312,4312,6000 Oltorf/Montopolis,30.217714,-97.715542,78741
4313,4313,5301 Oltorf/Alvin Devane,30.219883,-97.720359,78741
4317,4317,4120 Freidrich/Woodward,30.213561,-97.745855,78744
4318,4318,Woodward/Ben White SW Corner,30.214641,-97.744698,78744
4323,4323,3300 Parker/Timber Ridge,30.22216,-97.742228,78741
4324,4324,3301 Parker/Timber Ridge,30.222918,-97.7421,78741
4325,4325,3004 Parker/Timber Ridge,30.224895,-97.742138,78741
4326,4326,ABIA Lower Level,30.202744,-97.665653,78617
4331,4331,1715 Stassney/IH 35,30.197199,-97.761558,78744
4335,4335,2523 Stassney/Chaparral,30.193724,-97.747107,78744
4342,4342,Pleasant Valley/Creek Bend,30.18276,-97.745408,78744
4345,4345,1700 William Cannon/Bluff Springs,30.189202,-97.767485,78744
4348,4348,2015 William Cannon/Elm Creek,30.187471,-97.762532,78744
4349,4349,2283 William Cannon/Stoneleigh,30.1864,-97.759149,78744
4350,4350,2300 William Cannon/Stoneleigh,30.186485,-97.758728,78744
4351,4351,William Cannon/Branchwood,30.183639,-97.754477,78744
4352,4352,William Cannon/Rockridge,30.184074,-97.754703,78744
4353,4353,4812 William Cannon/Meadow Lake,30.181192,-97.75051,78744
4354,4354,2114 Blue Meadow/Blue Dawn,30.18173,-97.764323,78744
4355,4355,2203 Blue Meadow/Blue Dawn,30.181535,-97.76431,78744
4357,4357,7200 Salt Springs/Orleans,30.168548,-97.739677,78744
